Quotes,Author,Political Orientation
"I'm not a white supremacist. I'm not even a white nationalist. I consider myself a civil and human rights advocate focusing on the underrepresented Caucasian demographic.I've publicly stated numerous times that I do not want neo-Nazis at my rally, and they're not welcome.",Jason Kessler,Right
I think the alt-right thinks I am a cuck and not extreme enough and [liberals] think I am a white supremacist. None are true.,Jason Kessler,Right
"Whatever your opinion of the post-9/11 wars, the need to invade Afghanistan or Iraq, none of that changes the decades old strategy and ideology of Global Jihad. Long before there was a Bush in the White House, Muslims with a fundamentalist interpretation of Islam declared war on all that is Un-Islamic, be it located in the Middle East, Europe or the US. Theirs is a totalitarian ideology, as universalist and absolute as anything Hitler or Stalin came up with, albeit with a holy sanction and promise of salvation. We are in their crosshairs as much as Assad, Maliki, or Sisi. Either everyone must live under Islamic law in a Caliphate, or they must die. Whether they live in a Christian enclave in Norther Iraq, or Washington, New York, or Houston.",Sebastian Gorka,Right
The NRA is the most important organization protecting our rights to defend ourselves and our democracy in America.,Sebastian Gorka,Right
"Multiculturalism is a false euphemism. The real word is ""multiracialism"", but the word ""race"" has been recently erased from French legislature, because supposedly there are no races. Here we can observe a new illogicality of the System. There are supposedly no races, but the media are increasingly talking about the rise of racism. How then racists can exist, if there are no races? Nevertheless, we have all too much empirical data showing precisely that multi-ethnic and multicultural countries are prone to ethnic and racial conflicts. What former Yugoslavia went through is in store for the EU - of course, in a different form. One of the additional reasons I left American academia is that I could no longer tolerate giving undeserved passing grades to my American students of African and Hispanic origin, whose IQ and speed of symbolic reasoning were much lower than that of my white American students. It is a form of tyranny of political correctness, much like the former Soviet Union.",Tomislav Sunić,Right
"So many of our Christians have what I call the goo-goo syndrome: good government. They want everybody to vote. I don't want everybody to vote. Elections are not won by a majority of people, they never have been from the beginning of our country and they are not now. As a matter of fact, our leverage in the elections quite candidly goes up as the voting populace goes down.",Paul Weyrich,Right
"I believe that we probably have lost the culture war. That doesn't mean the war is not going to continue, and that it isn't going to be fought on other fronts. But in terms of society in general, we have lost. This is why, even when we win in politics, our victories fail to translate into the kind of policies we believe are important.Therefore, what seems to me a legitimate strategy for us to follow is to look at ways to separate ourselves from the institutions that have been captured by the ideology of Political Correctness, or by other enemies of our traditional culture. I would point out to you that the word ""holy"" means ""set apart,"" and that it is not against our tradition to be, in fact, ""set apart."" You can look in the Old Testament, you can look at Christian history. You will see that there were times when those who had our beliefs were definitely in the minority and it was a band of hardy monks who preserved the culture while the surrounding society disintegrated.What I mean by separation is, for example, what the homeschoolers have done. Faced with public school systems that no longer educate but instead ""condition"" students with the attitudes demanded by Political Correctness, they have seceded. They have separated themselves from public schools and have created new institutions, new schools, in their homes.",Paul Weyrich,Right
"Though Hitler was indeed racist and anti-Semitic to the core, a man who without compunction could commit murder and genocide, he was also an individual of great courage, a soldier's soldier in the Great War, a political organizer of the first rank, a leader steeped in the history of Europe, who possessed oratorical powers that could awe even those who despised him... Hitler's success was not based on his extraordinary gifts alone. His genius was an intuitive sense of the mushiness, the character flaws, the weakness masquerading as morality that was in the hearts of the statesmen who stood in his path.",Pat Buchanan,Right
There is nothing wrong with us sitting down and arguing that issue that we are a European country.,Pat Buchanan,Right
"The War Between the States was about independence, about self-determination, about the right of a people to break free of a government to which they could no longer give allegiance... How long is this endless groveling before every cry of 'racism' going to continue before the whole country collectively throws up?",Pat Buchanan,Right
"As you may have heard in my last campaign, I am called by many names. “Protectionist” is one of the nicer ones; but it is inexact. I am an economic nationalist. To me, the country comes before the economy; and the economy exists for the people. I believe in free markets, but I do not worship them. In the proper hierarchy of things, it is the market that must be harnessed to work for man – and not the other way around.",Pat Buchanan,Right
"I have family roots in the South, in Mississippi. When the Civil War came, Cyrus Baldwin enlisted and did not survive Vicksburg. William Buchanan of Okolona, who would marry Baldwin’s daughter, fought at Atlanta and was captured by General Sherman. William Baldwin Buchanan was the name given to my father and by him to my late brother... As a member of the Sons of Confederate Veterans, I have been to their gatherings. I spoke at the 2001 SCV convention in Lafayette, LA. The Military Order of the Stars and Bars presented me with a battle flag and a wooden canteen like the ones my ancestors carried.",Pat Buchanan,Right
"To its neocon architects, Iraq was always about empire, hegemony, Pax Americana, global democracy – about getting hold of America’s power to make the Middle East safe for Sharon and themselves glorious and famous.",Pat Buchanan,Right
"Listen up, me name be Buchanan, me knows enough things bout politics. Get involved, mack daddies. Y'all better realize, that nothing be a better way to get your kicks. West side, aight?",Pat Buchanan,Right
"If Americans are the most efficient workers on earth and work longer hours than almost any other advanced nation, why are we getting our clocks cleaned? Answer: While American workers are world-class, our elites are mentally challenged. So rhapsodic are they about the Global Economy they have forgotten their own country. Europeans, Japanese, Canadians and Chinese sell us so much more than they buy from us because they have rigged the rules of world trade.",Pat Buchanan,Right
"Israeli and U.S. interests often run parallel, but they are not the same. Israel is concerned with a neighborhood. We are concerned with a world of 300 million Arabs and a billion Muslims. Our policies cannot be the same. If they are, we will end up with all of Israel’s enemies, who are legion, and only Israel’s friends, who are few.",Pat Buchanan,Right
"Though blacks are outnumbered 5-to-1 in the population by whites, they commit eight times as many crimes against whites as the reverse. By those 2007 numbers, a black male was 40 times as likely to assault a white person as the reverse. If interracial crime is the ugliest manifestation of racism, what does this tell us about where racism really resides — in America?",Pat Buchanan,Right
"Like materialism, consumerism and socialism, transnationalism suffers from the same fatal flaw. It feeds the body and starves the soul. And eventually bored people hear the old calls again.",Pat Buchanan,Right
"Americans are already deep in a culture war over morality—marijuana, abortion, same-sex marriage. We are already racially polarized over affirmative action and income inequality. And when we have ceased to be an English-speaking, Christian country and become instead an Asian-Hispanic-African-American-white nation, with large Jewish, Christian, Muslim, Hindu, Buddhist, agnostic and atheist minorities, and no defined borders, or common faith and culture, what holds us together?",Pat Buchanan,Right
"Today, no great Western nation has a birthrate that will prevent the extinction of its native-born. By century's end, other peoples and other cultures will have largely repopulated the Old Continent. European Man seems destined to end like the 10 lost tribes of Israel—overrun, assimilated and disappeared.",Pat Buchanan,Right
"Given the shrinking populations inside Europe and the waves of immigrants rolling in from Africa and the Middle and Near East, an Islamic Europe seems to be in the cards before the end of the century.",Pat Buchanan,Right
"Military intervention for reasons of ideology or nation building is not an Eisenhower or Nixon or Reagan tradition. It is not a Republican tradition. It is a Bush II-neocon deformity, an aberration that proved disastrous for the United States and the Middle East.",Pat Buchanan,Right
"What is the moral argument for an affirmative action that justifies unending race discrimination against a declining white working class, who have become the expendables of our multicultural regime?",Pat Buchanan,Right
"“Angry white male” is now an acceptable slur in culture and politics. So it is that people of that derided ethnicity, race, and gender see in Donald Trump someone who unapologetically berates and mocks the elites who have dispossessed them, and who despise them. Is it any surprise that militant anti-government groups attract white males? Is it so surprising that the Donald today, like Jess Willard a century ago, is seen by millions as “The Great White Hope”?",Pat Buchanan,Right
"The 1960s and early 1970s were a time of social revolution in America, and President Nixon, by ending the draft and ending the Vietnam war, presided over what one columnist called the “cooling of America.” But if Hillary Clinton takes power, and continues America on her present course, which a majority of Americans rejected in the primaries, there is going to a bad moon rising.",Pat Buchanan,Right
"What America has in Hillary Clinton is a potential president with the charisma but not the competence of Angela Merkel, and the ethics of Dilma Rousseff.",Pat Buchanan,Right
"... the folks Obama and Clinton detest, disparage, and pity are the white working- and middle-class folks Richard Nixon celebrated as Middle Americans and the Silent Majority. They are the folks who brought America through the Depression, won World War II, and carried us through the Cold War from Truman in 1945 to victory with Ronald Reagan in 1989. These are the Trump supporters. They reside mostly in red states like West Virginia, Kentucky and Middle Pennsylvania, and Southern, Plains and Mountain states that have provided a disproportionate share of the soldiers, sailors, airmen and Marines who fought and died to guarantee the freedom of plutocratic LGBT lovers to laugh at and mock them at $2,400-a-plate dinners.",Pat Buchanan,Right
America’s media seem utterly lacking in introspection. Do they understand why so many people hate them so? Do they care? Are they so smugly self-righteous and self-regarding they cannot see?,Pat Buchanan,Right
"Trump did not create the forces that propelled his candidacy. But he recognized them, tapped into them, and unleashed a gusher of nationalism and populism that will not soon dissipate.",Pat Buchanan,Right
"Middle America believes the establishment is not looking out for the nation but for retention of its power. And in attacking Trump it is not upholding some objective moral standard but seeking to destroy a leader who represents a grave threat to that power. Trump’s followers see an American Spring as crucial, and they are not going to let past boorish behavior cause them to abandon the last best chance to preserve the country they grew up in.",Pat Buchanan,Right
"In 1960, only sixteen million Americans did not trace their ancestors to Europe. Today, the number is eighty million. No nation has ever undergone so rapid and radical a transformation.",Pat Buchanan,Right
"Uncontrolled immigration threatens to deconstruct the nation we grew up in and convert America into a conglomeration of peoples with almost nothing in common — not history, heroes, language, culture, faith, or ancestors. Balkanization beckons.",Pat Buchanan,Right
"In half a lifetime, many Americans have seen their God dethroned, their heroes defiled, their culture polluted, their values assaulted, their country invaded, and themselves demonized as extremists and bigots for holding on to beliefs Americans have held for generations.",Pat Buchanan,Right
"What was right and true yesterday is wrong and false today. What was immoral and shameful — promiscuity, abortion, euthanasia, suicide — has become progressive and praiseworthy. Nietzsche called it the transvaluation of all values; the old virtues become sins, and the old sins become virtues.",Pat Buchanan,Right
"The West is dying. Its nations have ceased to reproduce, and their populations have stopped growing and begun to shrink. Not since the Black Death carried off a third of Europe in the fourteenth century has there been a graver threat to the survival of Western civilization.",Pat Buchanan,Right
"This struggle to preserve the old creeds, cultures, and countries of the West is the new divide between Left and Right; this struggle will define what it means to be a conservative. This is the cause of the twenty-first century and the agenda of conservatism for the remainder of our lives.",Pat Buchanan,Right
"Why do predictions of the Death of the West not belong on the same shelf as the predictions of 'nuclear winter' and 'global warming'? Answer: the Death of the West is not a prediction of what is going to happen, it is a depiction of what is happening now.",Pat Buchanan,Right
"The new hedonism seems unable to give people a reason to go on living. Its earliest fruits appear to be poisonous. Will this new ""liberating"" culture that our young have so enthusiastically embraced prove the deadliest carcinogen of them all? And if the West is in the grip of a ""culture of death,"" as the pope contends and the statistics seem to show, is Western civilization about to follow Lenin's empire to the same inglorious end?",Pat Buchanan,Right
"For it is this cultural revolution that has led to just such a ""profound modification in the ideas"" of peoples. And those ideas have made Western elites apparently indifferent to the death of their civilization. They do not seem to care if the end of the West comes by depopulation, by a surrender of nationhood, or by drowning in waves of Third World immigration.",Pat Buchanan,Right
"The prognosis is grim. Between 2000 and 2050, world population will grow by more than three billion to over nine billion people, but this 50 percent increase in global population will come entirely in Asia, Africa, and Latin America, as one hundred million people of European stock vanish from the earth.",Pat Buchanan,Right
There is no conservative party left in Washington. Conservative thinkers and writers who were to be the watchdogs of orthodoxy have been as vigilant in policing party deviations from principle as was Cardinal Law in collaring the predator-priests of the Boston archdiocese.,Pat Buchanan,Right
The Beltway Right has entered into a civil union with Big Brother.,Pat Buchanan,Right
"Under the rubric of conservatism, the Republican party of Bush I and II has been reinventing itself into what conservatives would have once recognized as a Rockefeller party reciting Reaganite rhetoric.",Pat Buchanan,Right
"A civil war is going to break out inside the Republican Party along the old trench lines of the Goldwater-Rockefeller wars of the 1960s, a war for the heart and soul and future of the party.",Pat Buchanan,Right
Neoconservatives are the boat people of the McGovern revolution.,Pat Buchanan,Right
Kristol's warning that neoconservatives could go to Kerry was an admission of what many have long recognized. The neoconservatives are not really conservatives at all. They are impostors and opportunists.,Pat Buchanan,Right
"Nine days after an attack on the United States, this tiny clique of intellectuals [Neocons] was telling the President of the United States...that if he did not follow their war plans, he would be charged publicly with a ""decisive surrender"" to terrorism.",Pat Buchanan,Right
"The Bush Doctrine is a prescription for permanent war for permanent peace, though wars are the death of republics.",Pat Buchanan,Right
The Bush National Security Strategy is the imperial edict of a superpower out to exploit its present supremacy to make itself permanent Lord Protector of the universe.,Pat Buchanan,Right
"The Bush Doctrine is democratic imperialism. This will bleed, bankrupt and isolate this republic. This overthrows the wisdom of the Founding Fathers about what America should be all about.",Pat Buchanan,Right
"Listening to the neoconservatives, Bush invaded Iraq, united the Arab world against us, isolated us from Europe, and fulfilled to the letter bin Laden's prophecy as to what we were about.",Pat Buchanan,Right
"If Iraq collapses in chaos and civil war, there will be a ferocious fight in this country over who misled us and who may have lied us, into war. Into the dock will go the neoconservatives whose class project this was.",Pat Buchanan,Right
"Terrorism is the price of empire. If we do not wish to pay it, we must give up the empire.",Pat Buchanan,Right
We are not hated for who we are. We are hated for what we do. It is not our principles that have spawned pandemic hatred of America in the Islamic world. It is our policies.,Pat Buchanan,Right
"If war is the continuation of politics by other means, terrorism is the continuation of war by other means.",Pat Buchanan,Right
"America's enemy in the Islamic world is not a state we can crush with sanctions or an enemy we can defeat with force of arms. The enemy is a cause, a movement, an idea.",Pat Buchanan,Right
"U.S. dominance of the Middle East is not the corrective to terror. It is a cause of terror. Were we not over there, the 9/11 terrorists would not have been over here.",Pat Buchanan,Right
The Sharon Plan is not a peace plan. It is a unilateral solution to be imposed by Israel.... A Palestinian leader who signs on to this surrender of land and rights would be signing his death warrant.,Pat Buchanan,Right
"As China is the one nation with the size, population, ideology and power to contest the United States for hegemony in Asia, is war inevitable? Answer: No more inevitable than was war between Germany and Great Britain in 1914.",Pat Buchanan,Right
"It is false to say President Bush presided over a ""jobless recovery."" His trade deficits have created many millions of jobs in China.",Pat Buchanan,Right
Free trade is the serial killer of American manufacturing and the Trojan Horse of World Government. It is the primrose path to the loss of economic independence and national sovereignty. Free trade is a bright shining lie.,Pat Buchanan,Right
Globalization is the economic treason that dare not speak it name.,Pat Buchanan,Right
"On Bush ""Free Trade"" policies, the Republican Party has signed off on economic treason.",Pat Buchanan,Right
Bush has compiled a fiscal record of startling recklessness.,Pat Buchanan,Right
"There is no conservative party in Washington. There is a Democratic Party of tax-and-spend and a Republican Party of guns and butter and tax cuts, too. Washington is all accelerator, the brakes are gone.",Pat Buchanan,Right
"Like Thelma and Louise, Medicare and Social Security are headed for the cliff. And we are in the back seat.",Pat Buchanan,Right
The dirty little secret is that Congress no longer wants the accountability that goes with the wielding of power.,Pat Buchanan,Right
How did it happen that a republic born of a rebellion against a king and parliament we did not elect has fallen under a tyranny of judges we did not elect?,Pat Buchanan,Right
The Left has found the Ho Chi Minh Trail around democracy...to impose its views and values upon our society without having to win elections or persuade elected legislators.,Pat Buchanan,Right
"In July 1944, at the Mount Washington Hotel in the resort town of Bretton Woods in the White Mountains of New Hampshire, John Maynard Keynes and Harry Dexter White created the New World Order.",Pat Buchanan,Right
"Ten years after NAFTA, Mexico's leading export to America is still — Mexicans. America is becoming Mexamerica.",Pat Buchanan,Right
"If the success of the Bush presidency hinges on the outcome of the war in Iraq, that war is even more critical to the cabal that exploited 9/11 to maneuver us into it... All the neocon eggs are in the Baghdad basket.",Pat Buchanan,Right
"If America is about anything, she is about freedom. We have seen in the burgeoning Department of Homeland Security and at our airports and in the color-coded alerts the beginning of the erosion of that freedom.",Pat Buchanan,Right
"What can be said for a man who would allow his home to be invaded by strangers who demanded they be fed, clothed, housed and granted the rights of the first-born? What can be said for a ruling elite that permits this to be done to the nation, and who celebrate it as a milestone of moral progress?",Pat Buchanan,Right
Chicano chauvinists and Mexican agents have made clear their intent to take back through demography and culture what their ancestors lost through war.,Pat Buchanan,Right
"Will the American Southwest become a giant Kosovo, a part of the nation separated from the rest by language, ethnicity, history and culture, to be reabsorbed in all but name by Mexico from whom we took these lands in the time of Jackson and Polk?",Pat Buchanan,Right
"With perhaps 4 million illegal aliens having broken in in Bush's five-and-a-half years in office, and our border states being daily breached by thousands more, can anyone say President Bush has protected the states of this Union against that invasion? In an earlier America, this dereliction of constitutional duty would have called forth articles of impeachment.",Pat Buchanan,Right
"High among the costs of immigration is the appearance among us of diseases that never before afflicted us and the sudden reappearance of contagious diseases that researchers and doctors had eradicated long ago. Malaria, polio, hepatitis, tuberculosis and such rarities of the Third World as dengue fever, Chagas' Disease and leprosy are surfacing here...",Pat Buchanan,Right
"By 2050 there will be almost 2.5 times as many people here as in 1960: 420 million. The share of the population of European descent will be a minority as it is today in California, Texas and New Mexico. And that minority will be aging, shrinking and dying. There will be as many Hispanics here, 102 million, as there are Mexicans today in Mexico...",Pat Buchanan,Right
"By nation of origin of our people, by 2050, America will be a Third World country. Our great cities will all look like Los Angeles today. Los Angeles and the cities of the Southwest will look like Juarez and Tijuana...",Pat Buchanan,Right
"As Rome passed away, so, the West is passing away, from the same causes and in much the same way. What the Danube and Rhine were to Rome, the Rio Grande and Mediterranean are to America and Europe, the frontiers of a civilization no longer defended.",Pat Buchanan,Right
"Mass immigration is swamping the GOP base. Tens of millions of immigrants who vote Democratic, once they are naturalized and registered, have come and are coming to America. History may yet record that the Immigration Act of 1965 act converted 'The Emerging Republican Majority' of Kevin Phillips' classic work into the Lost Colony of the 21st century.",Pat Buchanan,Right
"In 1960, the U.S. population was 89% white. By 1990, it was 76%. Today, it is under 70%. By 2050, white Americans, the most loyal voting bloc the Republican Party has, that provides 90% of all GOP votes, will be just another minority because of an immigration policy championed by Republicans. When John Stuart Mill called the Tories ""the Stupid Party,"" he was not entirely wrong.",Pat Buchanan,Right
"With the Constitution, the law, and the politics on the side of doing his duty and securing our broken border, why does President Bush not act? What is paralyzing the White House? Answer: Political correctness, political cowardice, political opportunism, a sense of guilt for America's sins, and twin ideologies that have a grip on our elites not unlike a religious cult. The proud old boast, ""Here, sir, the people rule!"" no longer applies. We no longer live in a truly democratic republic.",Pat Buchanan,Right
"The Bush plan is economic treason against the American worker. That ""civil rights leaders"" are silent about the dispossession of the black working class, that unions are not marching to denounce this sellout of blue-collar and white-collar America, only tells us that the amorality of the transnational corporation has infected both. Solidarity be damned, it is all about money now.",Pat Buchanan,Right
"The MEChA slogan is ""Por la Raza todo. Fuera de La Raza nada,"" which translates, ""For the race, everything. Outside of the race, nothing."" The MEChA slogan seems a conscious echo of the Fascist slogan of Mussolini: ""Everything for the state, nothing outside the state, nothing above the state.""",Pat Buchanan,Right
"What makes the Pastor-CFR [Council on Foreign Relations] plan remarkable is that those who would abolish America are out of the closet. The penultimate step to world government, a North American Union built on the model of the European Union, to one day merge with it in a World Union of Nations and Peoples, is before us on the table.",Pat Buchanan,Right
"The temptation is to think that Vicente Fox, who heads a country 46% of whose people would like to live in the United States, is but another failed Third World visionary prattling on for the benefit of globalists who have been beavering away on their impossible dream for generations...",Pat Buchanan,Right
...The reality is otherwise. [Vicente] Fox & friends are far closer than all but a few realize to making inevitable a North American Union where American sovereignty is dissipated and the republic is no more.,Pat Buchanan,Right
"This strategy aims directly at a reannexation of the Southwest, not militarily, but ethnically, linguistically and culturally through transfer of millions of Mexicans into the United States and a migration of ""Anglos"" out of the lands Mexico lost in 1848. In California, the project is well advanced.",Pat Buchanan,Right
"Stated bluntly, the Aztlan Strategy entails the end of the United States as a sovereign, self-sufficient, independent republic, the passing away of the American nation. They are coming to conquer us.",Pat Buchanan,Right
"Democracy is not enough. If the culture dies, the country dies.",Pat Buchanan,Right
"Who would lay down his life for the UN, EU or a ""North American Union?""… Every true nation is the creation of a unique people, separate from all others. Indeed, if America is an ideological nation grounded no deeper than in the sandy soil of abstract ideas, she will not survive the storms of this century any more than the Soviet Union survived the storms of the last...",Pat Buchanan,Right
"A true nation is held together not by any political creed but by patriotism.... For two centuries, men have died for America.",Pat Buchanan,Right
The seething racial resentment in the Third World against the West — decades after independence and trillions in foreign aid — should cause second thoughts about opening our borders to mass immigration from that world. Not everyone coming here brings in his heart the passionate attachment to America we attribute to the peoples of Ellis Island.,Pat Buchanan,Right
"Young Asian males are nine times as likely as white youth to belong to a gang and Hispanic youth are 19 times more likely. A disproportionate share of Hispanic young and poor are thus assimilating into a misogynistic, rebellious, youth sub-culture of drugs, gangs, crime, contempt for formal education, and hostility to police.",Pat Buchanan,Right
"Like the Paris riots, the struggle over French history raises grave questions for Europe. How does the presence of 20 million Muslims who come from nations where men believe their grandfathers were exploited and persecuted by Europeans advance the unity and security of Europe? How is Europe made stronger by such ""diversity""?",Pat Buchanan,Right
"Islamization of Europe is an unavoidable consequence, indeed, an inevitability, once Europe ceased to reproduce itself. The descendants of the men who went out from Europe to conquer and Christianize the world have decided to leave the world. The culture of death triumphs, as the poor but fecund Muslims, expelled centuries ago, return to inherit the estate.",Pat Buchanan,Right
"In his litany of famous immigrants who have contributed mightily to America, JFK does not mention a single woman, African or Asian. All are males and all were from Europe, except one West Indian: Alexander Hamilton. And JFK assures the nation, ""Immigrants would still be given tests for health, intelligence, morality and security...""",Pat Buchanan,Right
"Our illegal population alone exceeds the all the Irish, Jewish and British immigrants who came. Each year, we catch more people breaking in at the border than all the Swedes and Norwegians who came to America in 200 years. Half a million illegal aliens succeed in breaking in every year, more than all the Greeks or Poles who came legally from the Revolution to 1960.",Pat Buchanan,Right
"The crisis of the West is a collapsing culture and vanishing peoples, as a Third World that grows by 100 million people, the equivalent of a new Mexico, every 18 months, mounts the greatest invasion in history of the world. If we do not shake off our paralysis, the West comes to an end.",Pat Buchanan,Right
"Concerned about his legacy, George W. Bush may yet live to see his name entered into the history of his country as the president who lost the American Southwest that James K. Polk won for the United States.",Pat Buchanan,Right
"If we do not solve our civilizational crisis -- a disintegrating culture, dying populations, and invasions unresisted -- the children born in 2006 will witness in their lifetimes the death of the West. In our hearts we know what must be done. We must stop the invasion. But do our leaders have the vision and will to do it?",Pat Buchanan,Right
"The last consequence of a dying Christianity is a dying people. Not one post-Christian nation has a birth rate sufficient to keep it alive….The death of European Christianity means the disappearance of the European tribe, a prospect visible in the demographic statistics of every Western nation.",Pat Buchanan,Right
"White America is an endangered species. By 2020, whites over 65 will out-number those 17 and under. Deaths will exceed births. The white population will begin to shrink and, should present birth rates persist, slowly disappear.",Pat Buchanan,Right
"Peoples of European descent are not only in a relative but a real decline. They are aging, dying, disappearing. This is the existential crisis of the West.",Pat Buchanan,Right
Historians will look back in stupor at 20th and 21st century Americans who believed the magnificent republic they inherited would be enriched by bringing in scores of millions from the failed states of the Third World.,Pat Buchanan,Right
"We may deny the existence of ethnonationalism, detest it, condemn it. But this creator and destroyer of empires and nations is a force infinitely more powerful than globalism, for it engages the heart. Men will die for it. Religion, race, culture and tribe are the four horsemen of the coming apocalypse.",Pat Buchanan,Right
We borrow from Europe to defend Europe. We borrow from the Gulf states to defend the Gulf states. We borrow from Japan to defend Japan. Is it not a symptom of senility to be borrowing from the world so we can defend the world?,Pat Buchanan,Right
"Are vital U.S. interests more imperiled by what happens in Iraq where were have 50,000 troops, or Afghanistan where we have 100,000, or South Korea where we have 28,000 — or by what is happening on our border with Mexico? … What does it profit America if we save Anbar and lose Arizona?",Pat Buchanan,Right
"We are trying to create a nation that has never before existed, of all the races, tribes, cultures and creeds of Earth, where all are equal. In this utopian drive for the perfect society of our dreams we are killing the real country we inherited — the best and greatest country on earth.",Pat Buchanan,Right
"Where equality is enthroned, freedom is extinguished. The rise of the egalitarian society means the death of the free society.",Pat Buchanan,Right
"Through its support of mass immigration, its paralysis in power to prevent 12-20 million illegal aliens from entering and staying, its failure to address the “anchor-baby” issue, the Republican Party has birthed a new electorate that will send it the way of the Whigs.",Pat Buchanan,Right
"Mexico is moving north. Ethnically, linguistically and culturally, the verdict of 1848 is being over-turned. Will this Mexican nation within a nation advance the goals of the Constitution — to “insure domestic tranquility” and ‘make us a more perfect union’? Or have we imperiled our union?",Pat Buchanan,Right
"We have accepted today the existence in perpetuity of a permanent underclass of scores of millions who cannot cope and must be carried by society — fed, clothed, housed, tutored, medicated at taxpayer’s expense their entire lives. We have a dependent nation the size of Spain in our independent America. We have a new division in our country, those who pay a double or triple fare, and those who ride forever free.",Pat Buchanan,Right
The greatest American who ever lived has been shot down and killed.,David Duke,Right
"White people don't need a law against rape, but if you fill this room up with your normal black bucks, you would, because niggers are basically primitive animals.",David Duke,Right
Our clear goal must be the advancement of the white race and separation of the white and black races. This goal must include freeing of the American media and government from subservient Jewish interests.,David Duke,Right
"What we really want to do is to be left alone. We don't want Negroes around. We don't need Negroes around. We're not asking— you know, we don't want to have them, you know, for our culture. We simply want our own country and our own society. That's in no way exploitive at all. We want our own society, our own nation….",David Duke,Right
"Did you ever notice how many survivors they have? Did you ever notice that? Everybody — every time you turn around, 15,000 survivors meet here; 400 survivors convention there. I mean, did you ever notice? Nazis sure were inefficient, weren't they? Boy, boy, boy!...You almost have no survivors that ever say they saw a gas chamber or saw the workings of a gas chamber.... they'll say these preposterous stories that anybody can check out to be a lie, an absolute lie.",David Duke,Right
I won my constituency. I won 55% of the white vote.,David Duke,Right
"As for America and the rest of European world, I want to live in a nation that reflects my traditions and values, and I do not want my people to become a minority in the nations my own forefathers built. Interestingly, that is same goal that most Israelis and most Jews who support Israel endorse for the Jewish state.",David Duke,Right
"I don’t want to see this country resemble or look like or become like Mexico. Mexico is great to visit, I’ve been there a few times. I respect all peoples of the world.",David Duke,Right
"I’m often called, so often called in the media, it’s like a part of my name “white supremacist” or whatever. I’m not one. I don’t want white people to be supreme. I don’t believe, in fact, that we should even have bases in 65 countries of the world I don’t think we should be in Iraq. I don’t believe we should try to control politics of the South American countries or the Southeast Asia or in Africa, or anywhere else in the world. But I do think we have a right to preserve our own culture, own heritage in our own country.",David Duke,Right
